backbone,pe,dataset,n_seeds,rho_d_min,rho_d_max,rho_weighting,metric_mean,metric_std,rho,s_bar_1_raw_gain,n_pairs_total,n_pairs_tail,max_d_populated,min_graphs_in_tail_bucket,graphs_at_d1,clustered_by,n_measurements,n_graphs,rho_ci_lo,rho_ci_hi,rho_seed_mean,rho_seed_std,n_seeds_with_curves,rho_rel,rho_rel_ci_lo,rho_rel_ci_hi,rho_rel_window,n_graphs_rel
san,lappe,peptides-func,3,26,80,per_distance,0.4787413562303002,0.01418815595216001,0.03736013273493751,7.660941275174077,13276656,5251798,155,1,3,graph_id,768,692,0.03286521865201351,0.04162317460097255,0.026555882189558858,0.03710169117752287,3,0.02893102297825597,0.026239534226285274,0.031545667533077915,bins 6-10 of 10,692
san,grpe,peptides-func,3,26,80,per_distance,0.47715116223283477,0.01683832305373225,0.014626849908214277,10.04288450141747,13276656,5251798,155,1,3,graph_id,768,692,0.013886262086777488,0.015528928764035213,0.014885920139965597,0.005159891890965308,3,0.012637421487294128,0.011854680175832086,0.013478977817878683,bins 6-10 of 10,692
gps,rwse,peptides-struct,3,26,80,per_distance,0.2791166666666667,0.014048282220020119,0.6696658782012258,14.036882100785656,3536485,1306757,153,1,3,graph_id,768,692,0.6623150948749947,0.6767383060246674,0.6684449872384944,0.01881774468031996,3,0.48300840718421606,0.47817311439250665,0.4877203416443009,bins 6-10 of 10,692
gps,lappe,peptides-struct,3,26,80,per_distance,0.25051,0.00040706264874095855,0.6282983130587395,13.485683737257553,3536485,1306757,153,1,3,graph_id,768,692,0.6215661965551489,0.6345767528550096,0.6266380374490165,0.01804929115479489,3,0.46499810010977843,0.46064583836474515,0.4695967833849762,bins 6-10 of 10,692
gps,none,peptides-struct,3,26,80,per_distance,0.3740266666666667,0.02626065942304825,0.6266189621912811,20.68813788180173,3536485,1306757,153,1,3,graph_id,768,692,0.6205129766042434,0.633737131967608,0.6262617306623723,0.00995251783169741,3,0.5257881530366195,0.5221074767746591,0.529439583361,bins 6-10 of 10,692
gps,signnet,peptides-struct,3,26,80,per_distance,0.25627666666666665,0.0020278642295117524,0.5684547066727388,9.674398273114607,3536485,1306757,153,1,3,graph_id,768,692,0.5638148033033641,0.5729520063682956,0.568385370445008,0.007081688600758377,3,0.45835605130037965,0.45453497961287426,0.462031369656008,bins 6-10 of 10,692
graphormer,grpe,peptides-struct,3,26,80,per_distance,0.26430006821950275,0.005630548875169929,0.6970561659366824,0.8384247674439431,77936,31212,122,1,3,graph_id,30,30,0.6772337550670179,0.7165305337370804,0.7102007838640322,0.03713020468891858,3,0.5806846011458286,0.5645138369972013,0.5972349519435147,bins 6-10 of 10,30
graphormer,none,peptides-struct,3,26,80,per_distance,0.2638109624385834,0.002476221972903721,0.6837716153418658,0.8514289428419042,77936,31212,122,1,3,graph_id,30,30,0.6542760261298167,0.714307659917311,0.7072272684370339,0.019414212091117006,3,0.5823336983665142,0.5625163617964234,0.5982649933580659,bins 6-10 of 10,30
graphormer,lappe,peptides-struct,3,26,80,per_distance,0.26691100001335144,0.0025122366016456003,0.6836255467009896,0.824006079807336,77936,31212,122,1,3,graph_id,30,30,0.6555456230344966,0.7079046073210599,0.6651357437064538,0.04240475457200496,3,0.5797829895291011,0.5629978820943974,0.5950671511074688,bins 6-10 of 10,30
graphormer,signnet,peptides-struct,3,26,80,per_distance,0.2689008017381032,0.0016780823839456342,0.6650507394543328,0.8525776080439024,77936,31212,122,1,3,graph_id,30,30,0.6329256084681534,0.6942858582595178,0.6535005869580129,0.038816481845808,3,0.5771980237736953,0.5567934997296249,0.5951713138943663,bins 6-10 of 10,30
graphormer,rwse,peptides-struct,3,26,80,per_distance,0.2607167065143585,0.00751638773690168,0.6592019142241679,0.7625148539834676,77936,31212,122,1,3,graph_id,30,30,0.6286165999570972,0.6867805142715344,0.6822435391113756,0.03367697158054237,3,0.5846183182863914,0.5627245413497981,0.6056762288293855,bins 6-10 of 10,30
san,rwse,peptides-struct,3,26,80,per_distance,0.30563142933121556,0.02120390537060725,0.391507317714687,3.793417302579571,13276656,5251798,155,1,3,graph_id,768,692,0.30501282473185587,0.47561656368843636,0.31281920654559997,0.10086683649220003,3,0.3061472945361945,0.24930960972573082,0.36837270701411273,bins 6-10 of 10,692
san,none,peptides-struct,3,26,80,per_distance,0.3962333237743813,0.058860983966064186,0.2920276692994248,8.733526066560025,13276656,5251798,155,1,3,graph_id,768,692,0.20868759676010218,0.3786434064913378,0.29182317190609103,0.04036055961301594,3,0.23210951101180263,0.21101073498565814,0.25794153312506385,bins 6-10 of 10,692
san,signnet,peptides-struct,3,26,80,per_distance,0.2823826213065348,0.007602530895907538,0.05113112227543373,11.627200381125053,13276656,5251798,155,1,3,graph_id,768,692,0.04706817822992553,0.055279134469103104,0.051156968940601406,0.008011016215441752,3,0.023731525040572,0.021334988340249512,0.026031922262412705,bins 6-10 of 10,692
san,lappe,peptides-struct,3,26,80,per_distance,0.2960976261919392,0.022026262901283126,0.03948267301396143,3.9832215181823885,13276656,5251798,155,1,3,graph_id,768,692,0.035351462553456364,0.043834324505174625,0.03236481446981385,0.020101748841894976,3,0.020235062341768667,0.017575030776968932,0.02285346060101279,bins 6-10 of 10,692
san,grpe,peptides-struct,3,26,80,per_distance,0.2807816284365388,0.004442596300158355,0.012156225764782324,2.9646816390350432,13276656,5251798,155,1,3,graph_id,768,692,0.010957213437077439,0.013378477955005755,0.012248772659285964,0.005061140801442667,3,0.006503744398616133,0.0057436831573890335,0.0072511844419769975,bins 6-10 of 10,692
